protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
O43399,1,1,1,1,1,1,1,1,0
O75347,1,1,1,1,1,1,1,1,0
P02545,1,1,1,1,1,1,1,1,0
P05455,1,1,1,1,1,1,1,1,0
P06748,1,1,1,1,1,1,1,1,0
P20962,0,1,1,1,1,1,1,1,1
P23588,1,1,1,1,1,1,1,1,0
P26373,1,1,1,1,1,1,1,1,0
P31948,1,1,1,1,1,1,1,1,0
P43487,1,1,1,1,1,1,1,1,0
P58546,1,1,0,1,1,1,1,1,1
P62081,1,1,1,1,1,0,1,1,1
Q13263,1,1,1,1,1,0,1,1,1
Q9UHD8,1,1,1,1,1,1,1,1,0
Q9Y266,1,1,1,1,1,1,1,1,0
E9PAV3,1,1,0,1,1,0,1,1,1
O60841,0,1,1,1,1,1,1,1,0
O95861,1,1,0,1,1,0,1,1,1
P02042,1,1,1,1,1,1,1,0,0
P05114,1,0,1,1,1,1,1,1,0
P10155,1,1,0,1,1,1,1,1,0
P13797,1,1,0,1,1,1,1,1,0
P14324,1,1,0,1,1,1,1,1,0
P17096,1,1,1,1,1,0,1,1,0
P23246,1,1,1,1,1,0,1,1,0
P25398,1,1,1,1,1,0,1,1,0
P27816,1,0,1,1,1,1,1,1,0
P29218,1,1,0,1,1,1,1,1,0
P29692,1,1,0,1,1,0,1,1,1
P47914,1,0,1,1,1,0,1,1,1
P49321,1,1,1,1,1,0,1,1,0
P54727,1,1,0,1,1,1,1,1,0
P55209,1,1,1,1,1,0,1,1,0
P62304,1,1,1,1,1,0,1,1,0
P62424,1,1,1,1,1,0,1,1,0
P63208,1,1,1,1,1,0,1,1,0
P83916,1,1,1,1,1,0,1,1,0
Q01105,1,1,1,1,1,0,1,1,0
Q02878,1,1,1,1,1,0,1,1,0
Q04637,1,1,1,1,1,1,0,1,0
Q05682,1,0,1,1,1,1,1,1,0
Q13185,1,1,1,1,1,0,1,1,0
Q13838,0,1,1,1,1,0,1,1,1
Q15185,1,1,0,1,1,1,1,1,0
Q15369,1,1,1,1,1,0,1,1,0
Q15459,1,1,1,1,1,0,1,1,0
Q15631,1,1,0,1,1,1,1,1,0
Q1KMD3,1,0,1,1,1,1,1,1,0
Q8NE71,1,1,1,1,1,1,0,1,0
Q9H1E3,1,1,1,1,1,0,1,1,0
Q9UBE0,1,1,1,1,1,0,1,1,0
Q9UBT2,1,1,1,1,1,0,1,1,0
Q9Y3F4,1,1,1,1,1,0,1,1,0
O00410,1,1,0,1,1,0,1,1,0
O15355,1,1,1,1,1,0,0,1,0
O43396,1,1,1,0,0,1,1,1,0
O60506,1,1,0,1,1,0,1,1,0
O75533,0,1,1,1,1,0,1,1,0
O76003,1,1,0,1,1,0,1,1,0
