protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
A8MT69,0,0,0,0,0,0,0,0,1
P19447,0,0,0,0,0,0,0,0,1
Q9HC77,0,0,0,0,0,0,0,0,1
Q9UHD4,0,0,0,0,0,0,0,0,1
Q9UPZ3,0,0,0,0,0,0,0,0,1
A0A024RBG1,0,0,0,0,0,0,0,1,0
A0A1B0GWK0,0,0,0,0,0,0,0,1,0
A0A286YF01,0,0,0,0,0,0,0,1,0
A0AUZ9,0,0,0,0,0,0,0,1,0
A0MZ66,0,0,0,0,0,0,0,1,0
A1X283,0,0,0,0,0,0,0,1,0
A1Z1Q3,0,0,0,0,0,0,0,1,0
A2RUC4,0,0,0,0,0,0,0,1,0
A2RUS2,0,0,0,0,0,0,0,1,0
A6NDK9,0,0,0,0,0,0,0,1,0
A6NFN3,0,0,0,0,0,0,0,1,0
A6NHR9,0,0,0,0,0,0,0,1,0
A6NIH7,0,0,0,0,0,0,0,1,0
A6NJZ7,0,0,0,0,0,0,0,1,0
A8MX34,0,0,0,0,0,0,0,1,0
A8MXV4,0,0,0,0,0,0,0,1,0
L0R819,0,0,0,0,0,0,0,1,0
O00255,0,0,0,0,0,0,0,1,0
O00268,0,0,0,0,0,0,0,1,0
O00329,0,0,0,0,0,0,0,1,0
O00399,0,0,0,0,0,0,0,1,0
O00423,0,0,0,0,0,0,0,1,0
O00425,0,0,0,0,0,0,0,1,0
O00442,0,0,0,0,0,0,0,1,0
O00458,0,0,0,0,0,0,0,1,0
O00459,0,0,0,0,0,0,0,1,0
O00470,0,0,0,0,0,0,0,1,0
O00472,0,0,0,0,0,0,0,1,0
O00541,0,0,0,0,0,0,0,1,0
O00635,0,0,0,0,0,0,0,1,0
O14519,0,0,0,0,0,0,0,1,0
O14531,0,0,0,0,0,0,0,1,0
O14593,0,0,0,0,0,0,0,1,0
O14639,0,0,0,0,0,0,0,1,0
O14647,0,0,0,0,0,0,0,1,0
O14732,0,0,0,0,0,0,0,1,0
