Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0A0J9YX94,,,PNMA6F PNMA6BL,
A1L3X4,cytoplasm [GO:0005737]; nucleus [GO:0005634],,MT1DP MTM,
A2RUR9,,,CCDC144A KIAA0565,
A6NDG6,cytoplasm [GO:0005737],,PGP,
A6NEW6,,,FAM90A16P FAM90A16; FAM90A17P FAM90A17,
A8MWD9,catalytic step 2 spliceosome [GO:0071013]; P granule [GO:0043186]; SMN-Sm protein complex [GO:0034719]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,SNRPGP15,
B0YJ81,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021],SUBCELLULAR LOCATION: Isoform 1: Endoplasmic reticulum membrane {ECO:0000269|PubMed:18554506}; Multi-pass membrane protein {ECO:0000269|PubMed:18554506}.,HACD1 PTPLA,
E9PAV3,nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P70670}. Nucleus {ECO:0000250|UniProtKB:P70670}.,NACA,
G2XKQ0,nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:27211601}. Note=Forms prominent non-membrane-bound structures in the nucleus. {ECO:0000269|PubMed:27211601}.,SUMO1P1 SUMO5 UBL2 UBL6,
O00115,extracellular exosome [GO:0070062]; lysosome [GO:0005764],SUBCELLULAR LOCATION: Lysosome.,DNASE2 DNASE2A DNL2,SIGNAL 1 18 {ECO:0000255}.
O00154,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654],"SUBCELLULAR LOCATION: Isoform 4: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: Isoform 6: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: Isoform 1: Mitochondrion {ECO:0000269|PubMed:12435388}.; SUBCELLULAR LOCATION: Isoform 5: Mitochondrion {ECO:0000269|PubMed:12435388}.",ACOT7 BACH,
O00159,basal plasma membrane [GO:0009925]; brush border [GO:0005903]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; membrane raft [GO:0045121]; microvillus [GO:0005902]; nuclear body [GO:0016604]; nuclear pore [GO:0005643]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; stereocilium membrane [GO:0060171]; unconventional myosin complex [GO:0016461],"SUBCELLULAR LOCATION: Isoform 1: Cytoplasm {ECO:0000269|PubMed:22736583}. Nucleus {ECO:0000269|PubMed:22736583}. Note=Colocalizes with RNA polymerase II. Absent from nucleoli and does not colocalize with RNA polymerase I. Translocates to nuclear speckles upon exposure to inhibitors of RNA polymerase II transcription.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cell projection, stereocilium membrane {ECO:0000250}. Cell projection, ruffle {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Note=Colocalizes with CABP1 and CIB1 at cell margin, membrane ruffles and punctate regions on the cell membrane. Colocalizes in adipocytes with GLUT4 at actin-based membranes. Colocalizes with GLUT4 at insulin-induced ruffles at the cell membrane. Localizes transiently at cell membrane to region known to be enriched in PIP2. Activation of phospholipase C results in its redistribution to the cytoplasm (By similarity). {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform 3: Nucleus, nucleoplasm. Nucleus, nucleolus. Nucleus, nuclear pore complex. Note=Colocalizes with RNA polymerase II in the nucleus. Colocalizes with RNA polymerase I in nucleoli (By similarity). In the nucleolus, is localized predominantly in dense fibrillar component (DFC) and in granular component (GC). Accumulates strongly in DFC and GC during activation of transcription. Colocalizes with transcription sites. Colocalizes in the granular cortex at the periphery of the nucleolus with RPS6. Colocalizes in nucleoplasm with RPS6 and actin that are in contact with RNP particles. Colocalizes with RPS6 at the nuclear pore level. {ECO:0000250}.",MYO1C,
O00220,cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.,TNFRSF10A APO2 DR4 TRAILR1,SIGNAL 1 23 {ECO:0000255}.
O00244,cytosol [GO:0005829],,ATOX1 HAH1,
O00273,cytosol [GO:0005829]; lipid droplet [GO:0005811]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Cytoplasm.,DFFA DFF1 DFF45 H13,
O00295,cilium [GO:0005929]; cytoplasm [GO:0005737]; extracellular region [GO:0005576],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Secreted {ECO:0000250}. Note=Does not have a cleavable signal peptide and is secreted by a non-conventional pathway. {ECO:0000250}.,TULP2 TUBL2,
O00299,blood microparticle [GO:0072562]; brush border [GO:0005903]; chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:9139710}. Nucleus membrane {ECO:0000269|PubMed:9139710}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:10793131, ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:9139710, ECO:0000305|PubMed:11978800, ECO:0000305|PubMed:14613939}. Cell membrane {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:11940526, ECO:0000269|PubMed:14613939, ECO:0000305|PubMed:11978800}; Single-pass membrane protein {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:14613939}. Note=Mostly in the nucleus including in the nuclear membrane (PubMed:9139710, PubMed:12681486). Small amount in the cytoplasm and the plasma membrane (PubMed:9139710). Exists both as soluble cytoplasmic protein and as membrane protein with probably a single transmembrane domain (PubMed:11940526, PubMed:11551966, PubMed:14613939). {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:11940526, ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:14613939, ECO:0000269|PubMed:9139710}.",CLIC1 G6 NCC27,
O00303,"cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; membrane [GO:0016020]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03005}.,EIF3F EIF3S5,
O00391,endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724],"SUBCELLULAR LOCATION: Isoform 1: Golgi apparatus membrane {ECO:0000269|PubMed:17331072, ECO:0000269|PubMed:23704371}; Single-pass membrane protein {ECO:0000305|PubMed:17331072}. Secreted {ECO:0000269|PubMed:29757379}. Note=A small proportion is secreted, probably via a proteolytic cleavage that removes the membrane anchor. {ECO:0000305|PubMed:29757379}.; SUBCELLULAR LOCATION: Isoform 2: Secreted {ECO:0000269|PubMed:10708601}. Note=Found in the extracellular medium of quiescent cells but is not found in proliferating cells. {ECO:0000269|PubMed:10708601}.",QSOX1 QSCN6 UNQ2520/PRO6013,SIGNAL 1 29 {ECO:0000255}.
O00410,cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear pore [GO:0005643]; nucleolus [GO:0005730]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Nucleus, nucleolus. Note=Nucleus; nuclear rim. Found particularly in the nuclear rim and nucleolus.",IPO5 KPNB3 RANBP5,
O00461,cis-Golgi network [GO:0005801]; endocytic vesicle [GO:0030139]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi lumen [GO:0005796]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; transport vesicle [GO:0030133],"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Endosome membrane; Single-pass type II membrane protein. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Note=Localizes to cis and medial Golgi cisternae. Probably cycles between early Golgi and distal compartments like endosome.",GOLIM4 GIMPC GOLPH4 GPP130,
O00462,azurophil granule membrane [GO:0035577]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Lysosome {ECO:0000305}.,MANBA MANB1,SIGNAL 1 17 {ECO:0000255}.
O00468,basement membrane [GO:0005604]; cell junction [GO:0030054]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; Golgi lumen [GO:0005796]; integral component of membrane [GO:0016021]; lysosomal lumen [GO:0043202]; plasma membrane [GO:0005886]; synapse [GO:0045202],"SUBCELLULAR LOCATION: Isoform 1: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:20551380}. Note=Synaptic basal lamina at the neuromuscular junction. {ECO:0000250|UniProtKB:P31696}.; SUBCELLULAR LOCATION: Isoform 2: Cell junction, synapse {ECO:0000250|UniProtKB:A2ASQ1}. Cell membrane {ECO:0000250|UniProtKB:A2ASQ1}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:A2ASQ1}.",AGRN AGRIN,SIGNAL 1 29 {ECO:0000255}.
O00469,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; rough endoplasmic reticulum membrane [GO:0030867],SUBCELLULAR LOCATION: Rough endoplasmic reticulum membrane; Peripheral membrane protein; Lumenal side.,PLOD2,SIGNAL 1 25 {ECO:0000255}.
O00479,chromatin [GO:0000785]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,HMGN4 HMG17L3 NHC,
O00533,apical part of cell [GO:0045177]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Soluble forms produced by cleavage/shedding also exist. {ECO:0000250}.; SUBCELLULAR LOCATION: Processed neural cell adhesion molecule L1-like protein: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",CHL1 CALL,SIGNAL 1 24 {ECO:0000255}.
