Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0A0U1RRK4,,,LBHD2,
A8MW92,nucleus [GO:0005634],,PHF20L1 CGI-72,
A8MWD9,catalytic step 2 spliceosome [GO:0071013]; P granule [GO:0043186]; SMN-Sm protein complex [GO:0034719]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,SNRPGP15,
B5ME19,eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q99613}.,EIF3CL,
E7EW31,,,PROB1 C5orf65,
E9PAV3,nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P70670}. Nucleus {ECO:0000250|UniProtKB:P70670}.,NACA,
F5H4B4,,,FAM227A,
G2XKQ0,nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:27211601}. Note=Forms prominent non-membrane-bound structures in the nucleus. {ECO:0000269|PubMed:27211601}.,SUMO1P1 SUMO5 UBL2 UBL6,
O00115,extracellular exosome [GO:0070062]; lysosome [GO:0005764],SUBCELLULAR LOCATION: Lysosome.,DNASE2 DNASE2A DNL2,SIGNAL 1 18 {ECO:0000255}.
O00148,cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription export complex [GO:0000346],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21859714}. Cytoplasm {ECO:0000269|PubMed:21859714}. Note=Can translocate to the cytoplasm in the presence of MX1.,DDX39A DDX39,
O00151,cell-cell adherens junction [GO:0005913]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; stress fiber [GO:0001725]; transcription factor complex [GO:0005667]; Z disc [GO:0030018],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10861853, ECO:0000269|PubMed:11110697}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10861853, ECO:0000269|PubMed:11110697}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:10861853}. Note=Associates with actin stress fibers. {ECO:0000269|PubMed:11110697}.",PDLIM1 CLIM1 CLP36,
