Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A6NIZ1,cytosol [GO:0005829]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Note=May shuttle between plasma membrane and cytosol. {ECO:0000250}.",,
A8MT69,condensed chromosome kinetochore [GO:0000777]; FANCM-MHF complex [GO:0071821]; Fanconi anaemia nuclear complex [GO:0043240]; nucleoplasm [GO:0005654],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19620631, ECO:0000269|PubMed:24522885}. Chromosome, centromere {ECO:0000269|PubMed:19620631, ECO:0000269|PubMed:24522885}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:19620631, ECO:0000269|PubMed:24522885}. Note=Assembly of CENPS and CENPX and its partner subunits CENPT and CENPW at centromeres occurs through a dynamic exchange mechanism. Although exchange is continuous in the cell cycle, de novo assembly starts principally during mid-late S phase and is complete by G2. CENPX being less stably bound at the kinetochore than CENPS. {ECO:0000269|PubMed:19620631, ECO:0000269|PubMed:24522885}.",CENPX FAAP10 MHF2 STRA13,
E9PAV3,nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P70670}. Nucleus {ECO:0000250|UniProtKB:P70670}.,NACA,
O00487,"cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; secretory granule lumen [GO:0034774]",,PSMD14 POH1,
O00584,azurophil granule lumen [GO:0035578]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764],SUBCELLULAR LOCATION: Secreted. Lysosome lumen. Endoplasmic reticulum lumen. Note=Subcellular fractionation of transfected ovarian cancer cells reveals full-length RNASET2 in the endoplasmic reticulum fraction and the 2 smaller RNASET2 proteolytic products in the lysosome fraction.,RNASET2 RNASE6PL,SIGNAL 1 24 {ECO:0000255}.
O00592,apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; filopodium [GO:0030175]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; membrane raft [GO:0045121]; microtubule organizing center [GO:0005815]; microvillus membrane [GO:0031528]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; slit diaphragm [GO:0036057],"SUBCELLULAR LOCATION: Apical cell membrane. Cell projection, lamellipodium. Cell projection, filopodium. Cell projection, ruffle. Cell projection, microvillus {ECO:0000250}. Membrane raft {ECO:0000250}. Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Note=In single attached epithelial cells is restricted to a preapical pole on the free plasma membrane whereas other apical and basolateral proteins are not yet polarized. Colocalizes with SLC9A3R2 at the apical plasma membrane during epithelial polarization. Colocalizes with SLC9A3R1 at the trans-Golgi network (transiently) and at the apical plasma membrane. Its association with the membrane raft is transient. Colocalizes with actin filaments, EZR and SLC9A3R1 in a punctate pattern at the apical cell surface where microvilli form. Colocalizes with EZR and SLC9A3R2 at the apical cell membrane of glomerular epithelium cells (By similarity). Forms granular, punctuated pattern, forming patches, preferentially adopting a polar distribution, located on the migrating poles of the cell or forming clusters along the terminal ends of filipodia establishing contact with the endothelial cells. Colocalizes with the submembrane actin of lamellipodia, particularly associated with ruffles. Colocalizes with vinculin at protrusions of cells. Colocalizes with ITGB1. Colocalizes with PARD3, PRKCI, EXOC5, OCLN, RAB11A and RAB8A in apical membrane initiation sites (AMIS) during the generation of apical surface and luminogenesis (By similarity). {ECO:0000250}.",PODXL PCLP PCLP1,SIGNAL 1 22 {ECO:0000255}.
O00754,azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosomal lumen [GO:0043202]; vacuolar membrane [GO:0005774],SUBCELLULAR LOCATION: Lysosome.,MAN2B1 LAMAN MANB,SIGNAL 1 49
O14514,cell-cell junction [GO:0005911]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; perinuclear region of cytoplasm [GO:0048471]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12074842, ECO:0000269|PubMed:26838550}; Multi-pass membrane protein {ECO:0000255}. Cell projection, phagocytic cup {ECO:0000250|UniProtKB:Q3UHD1}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:Q3UHD1}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:C0HL12}. Cell junction, synapse, postsynaptic cell membrane, postsynaptic density {ECO:0000250|UniProtKB:Q3UHD1}.; SUBCELLULAR LOCATION: Vasculostatin-120: Secreted {ECO:0000269|PubMed:15782143, ECO:0000269|PubMed:22330140}.; SUBCELLULAR LOCATION: Vasculostatin-40: Secreted {ECO:0000269|PubMed:22330140}.",ADGRB1 BAI1,SIGNAL 1 30 {ECO:0000255}.
O43143,nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U12-type spliceosomal complex [GO:0005689],"SUBCELLULAR LOCATION: Nucleus. Nucleus, nucleolus.",DHX15 DBP1 DDX15,
O43598,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03036, ECO:0000269|PubMed:18726892}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03036}.",DNPH1 C6orf108 RCL,
