Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0A024RBG1,cytosol [GO:0005829],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9NZJ9}.,NUDT4B,
A0A075B6H9,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV4-69,SIGNAL 1 20 {ECO:0000255}.
A0A075B6I0,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV8-61,SIGNAL 1 24 {ECO:0000255}.
A0A075B6I1,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV4-60,SIGNAL 1 21 {ECO:0000255}.
A0A075B6I4,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV10-54,SIGNAL 1 21 {ECO:0000255}.
A0A075B6I9,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV7-46,SIGNAL 1 19 {ECO:0000255}.
A0A075B6J1,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV5-37,SIGNAL 1 19 {ECO:0000255}.
A0A075B6J9,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV2-18,SIGNAL 1 19 {ECO:0000255}.
A0A075B6K0,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV3-16,SIGNAL 1 19 {ECO:0000255}.
A0A075B6K2,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV3-12,SIGNAL 1 20 {ECO:0000255}.
A0A075B6K4,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV3-10,SIGNAL 1 19 {ECO:0000255}.
A0A075B6K5,extracellular space [GO:0005615]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV3-9,SIGNAL 1 20 {ECO:0000255}.
A0A075B6K6,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV4-3,SIGNAL 1 19 {ECO:0000255}.
A0A075B6N3,T cell receptor complex [GO:0042101],SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.,TRBV24-1,SIGNAL 1 21 {ECO:0000255}.
A0A087WSX0,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGLV5-45,SIGNAL 1 19 {ECO:0000255}.
A0A087WSY6,extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",IGKV3D-15,SIGNAL 1 20 {ECO:0000255}.
