Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A8MT69,condensed chromosome kinetochore [GO:0000777]; FANCM-MHF complex [GO:0071821]; Fanconi anaemia nuclear complex [GO:0043240]; nucleoplasm [GO:0005654],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19620631, ECO:0000269|PubMed:24522885}. Chromosome, centromere {ECO:0000269|PubMed:19620631, ECO:0000269|PubMed:24522885}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:19620631, ECO:0000269|PubMed:24522885}. Note=Assembly of CENPS and CENPX and its partner subunits CENPT and CENPW at centromeres occurs through a dynamic exchange mechanism. Although exchange is continuous in the cell cycle, de novo assembly starts principally during mid-late S phase and is complete by G2. CENPX being less stably bound at the kinetochore than CENPS. {ECO:0000269|PubMed:19620631, ECO:0000269|PubMed:24522885}.",CENPX FAAP10 MHF2 STRA13,
E9PAV3,nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P70670}. Nucleus {ECO:0000250|UniProtKB:P70670}.,NACA,
O43143,nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; U12-type spliceosomal complex [GO:0005689],"SUBCELLULAR LOCATION: Nucleus. Nucleus, nucleolus.",DHX15 DBP1 DDX15,
O95861,cytosol [GO:0005829],,BPNT1,
P10412,nuclear chromatin [GO:0000790]; nuclear euchromatin [GO:0005719]; nuclear heterochromatin [GO:0005720]; nuclear nucleosome [GO:0000788]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus. Chromosome. Note=Mainly localizes in heterochromatin. Dysplays a punctuate staining pattern in the nucleus.,HIST1H1E H1F4,
P11387,DNA topoisomerase complex (ATP-hydrolyzing) [GO:0009330]; fibrillar center [GO:0001650]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; perikaryon [GO:0043204]; protein-DNA complex [GO:0032993]; replication fork protection complex [GO:0031298],"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12149243}. Nucleus, nucleoplasm {ECO:0000269|PubMed:12149243}. Note=Diffuse nuclear localization with some enrichment in nucleoli. On CPT treatment, cleared from nucleoli into nucleoplasm. Sumoylated forms found in both nucleoplasm and nucleoli.",TOP1,
P17812,cytoophidium [GO:0097268]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020],,CTPS1 CTPS,
P19447,nucleoplasm [GO:0005654]; nucleotide-excision repair factor 3 complex [GO:0000112]; nucleus [GO:0005634]; transcriptional preinitiation complex [GO:0097550]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675],SUBCELLULAR LOCATION: Nucleus.,ERCC3 XPB XPBC,
P20962,nucleus [GO:0005634],,PTMS,
P29692,cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation elongation factor 1 complex [GO:0005853]; fibrillar center [GO:0001650]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Isoform 2: Nucleus {ECO:0000269|PubMed:21597468}.,EEF1D EF1D,
