Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0A024RBG1,cytosol [GO:0005829],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9NZJ9}.,NUDT4B,
A0A1B0GWK0,troponin complex [GO:0005861],,PVALEF,
A0A286YF01,intermediate filament [GO:0005882],,SCYGR7 KRTAP28-7,
A0AUZ9,NSL complex [GO:0044545],,KANSL1L C2orf67,
A0AVT1,cytoplasm [GO:0005737]; cytosol [GO:0005829],,UBA6 MOP4 UBE1L2,
A0MZ66,axon [GO:0030424]; axonal growth cone [GO:0044295]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471],"SUBCELLULAR LOCATION: Perikaryon {ECO:0000250|UniProtKB:Q8K2Q9}. Cell projection, axon {ECO:0000250|UniProtKB:Q8K2Q9}. Cell projection, growth cone {ECO:0000250|UniProtKB:Q8K2Q9}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8K2Q9}. Cell projection, filopodium {ECO:0000250|UniProtKB:A0MZ67}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:A0MZ67}. Note=Localizes in multiple growth cones at neurite tips before the neuronal symmetry-breaking step. Accumulates in growth cones of a single nascent axon in a neurite length-dependent manner during the neuronal symmetry-breaking step; when absent from the nascent axon's siblings, probably due to competitive transport, prevents the formation of surplus axons. Transported anterogradely from the soma to the axon growth cone in an actin and myosin-dependent manner and passively diffuses back to the cell bodies. Colocalized with L1CAM in close apposition with actin filaments in filopodia and lamellipodia of axonal growth cones in hippocampal neurons. Exhibits retrograde movements in filopodia and lamellopodia of axonal growth cones. Colocalized with KIF20B along microtubules to the tip of the growing cone in primary hippocampal neurons. Recruted to the growth cone of developing axon in a KIF20B- and microtubule-dependent manner. {ECO:0000250|UniProtKB:A0MZ67, ECO:0000250|UniProtKB:Q8K2Q9}.",SHTN1 KIAA1598,
A1X283,cell junction [GO:0030054]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; podosome [GO:0002102],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell projection, podosome {ECO:0000250}. Note=Cytoplasmic in normal cells and localizes to podosomes in SRC-transformed cells. {ECO:0000250}.",SH3PXD2B FAD49 KIAA1295 TKS4,
A1Z1Q3,centrosome [GO:0005813]; nucleolus [GO:0005730]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23474712}. Note=Recruited to DNA lesions, probably via mono-APD-ribosylated proteins. {ECO:0000269|PubMed:23474712}.",MACROD2 C20orf133,
A2RUB6,centriolar satellite [GO:0034451]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; microtubule [GO:0005874]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:28235840}. Cell projection, cilium {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:28235840}. Photoreceptor inner segment {ECO:0000269|PubMed:19777273}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:19777273}. Note=Restricted to the centrosomes and the spindle microtubules during mitosis (PubMed:28235840). Enriched in the inner segment of the photoreceptor (PubMed:19777273). {ECO:0000269|PubMed:19777273, ECO:0000269|PubMed:28235840}.",CCDC66,
A2RUC4,cytoplasm [GO:0005737],,TYW5 C2orf60,
