Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0AVT1,cytoplasm [GO:0005737]; cytosol [GO:0005829],,UBA6 MOP4 UBE1L2,
A2RRH5,nucleoplasm [GO:0005654],,WDR27,
A2RUB6,centriolar satellite [GO:0034451]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; microtubule [GO:0005874]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:28235840}. Cell projection, cilium {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:28235840}. Photoreceptor inner segment {ECO:0000269|PubMed:19777273}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:19777273}. Note=Restricted to the centrosomes and the spindle microtubules during mitosis (PubMed:28235840). Enriched in the inner segment of the photoreceptor (PubMed:19777273). {ECO:0000269|PubMed:19777273, ECO:0000269|PubMed:28235840}.",CCDC66,
A6ND36,cytosol [GO:0005829]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:24554596}. Nucleus {ECO:0000269|PubMed:24554596}. Note=Detected predominantly in cytosolic. Upon BMP stimulation, a small portion of PAWS1 is detected in the nucleus. {ECO:0000269|PubMed:24554596}.",FAM83G PAWS1,
A6NJ88,integrator complex [GO:0032039],,SAGE2P,
A6NKT7,cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634],,RGPD3 RGP3,
A8MPX8,cytosol [GO:0005829]; nucleus [GO:0005634],,PP2D1 C3orf48,
A8MW92,nucleus [GO:0005634],,PHF20L1 CGI-72,
A8MWD9,catalytic step 2 spliceosome [GO:0071013]; P granule [GO:0043186]; SMN-Sm protein complex [GO:0034719]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,SNRPGP15,
E9PAV3,nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P70670}. Nucleus {ECO:0000250|UniProtKB:P70670}.,NACA,
O00139,centriolar subdistal appendage [GO:0120103]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; membrane [GO:0016020]; microtubule [GO:0005874]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleus [GO:0005634]; sperm principal piece [GO:0097228]; spindle pole [GO:0000922],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytoskeleton, spindle pole. Cytoplasm, cytoskeleton, spindle. Note=Localized to the spindle microtubules and spindle poles from prophase to metaphase. Efficient targeting to spindle microtubules and spindle poles requires the kinase activity of PLK1. Recruited to mitotic spindles by interaction with PSRC1.",KIF2A KIF2 KNS2,
O00170,aryl hydrocarbon receptor complex [GO:0034751]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654],SUBCELLULAR LOCATION: Cytoplasm.,AIP XAP2,
O00244,cytosol [GO:0005829],,ATOX1 HAH1,
O00267,DSIF complex [GO:0032044]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10075709}.,SUPT5H SPT5 SPT5H,
O00303,"cytosol [GO:0005829]; eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; membrane [GO:0016020]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03005}.,EIF3F EIF3S5,
O00410,cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear pore [GO:0005643]; nucleolus [GO:0005730]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Nucleus, nucleolus. Note=Nucleus; nuclear rim. Found particularly in the nuclear rim and nucleolus.",IPO5 KPNB3 RANBP5,
