Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A1XBS5,centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; cytoplasm [GO:0005737]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:27528616}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:27528616}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:27528616, ECO:0000269|PubMed:30395363}. Note=Weak punctate vesicular distribution throughout the cytoplasm (PubMed:27528616). Localizes at the distal end of mother centrioles (PubMed:27528616). Extensive colocalization with CBY1 at mother centrioles (PubMed:27528616). {ECO:0000269|PubMed:27528616}.; SUBCELLULAR LOCATION: Isoform 3: Nucleus {ECO:0000269|PubMed:17646714}.",FAM92A FAM92A1,
A2A3N6,cytoplasm [GO:0005737],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17623810}.,PIPSL PSMD4P2,
A2RUB6,centriolar satellite [GO:0034451]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; microtubule [GO:0005874]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:28235840}. Cell projection, cilium {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:28235840}. Photoreceptor inner segment {ECO:0000269|PubMed:19777273}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:19777273}. Note=Restricted to the centrosomes and the spindle microtubules during mitosis (PubMed:28235840). Enriched in the inner segment of the photoreceptor (PubMed:19777273). {ECO:0000269|PubMed:19777273, ECO:0000269|PubMed:28235840}.",CCDC66,
A3KN83,nucleus [GO:0005634],,SBNO1 MOP3,
A4UGR9,cell junction [GO:0030054]; Z disc [GO:0030018],SUBCELLULAR LOCATION: Cell junction {ECO:0000269|PubMed:15454575}. Note=Colocalizes with actin stress fibers. {ECO:0000250}.,XIRP2 CMYA3,
A6NHQ2,box C/D snoRNP complex [GO:0031428]; Cajal body [GO:0015030]; fibrillar center [GO:0001650]; nucleus [GO:0005634]; small-subunit processome [GO:0032040],"SUBCELLULAR LOCATION: Nucleus, nucleolus. Note=Fibrillar region of the nucleolus. {ECO:0000250}.",FBLL1,
A6NIX2,adherens junction [GO:0005912]; cell-cell junction [GO:0005911]; nucleus [GO:0005634]; P-body [GO:0000932]; transcription factor complex [GO:0005667],"SUBCELLULAR LOCATION: Cell junction, adherens junction. Nucleus {ECO:0000250}. Cytoplasm, P-body. Note=Following podocyte injury, caused by treatment with LPS, puromycin aminonucleoside, ultraviolet or hydrogen peroxide, translocates from sites of cell-cell contacts into the cytosol and nucleus. The shift from cell contacts to intracellular plaques starts as early as 1 hour after LPS stimulation and intranuclear localization begins 3 hours after LPS treatment. Maximal nuclear localization is achieved 6 hours after LPS treatment. Nuclear translocation requires dynein motor activity and intact microtubule network (By similarity). Returns to cell-cell contacts 24 hours after LPS stimulation. In the presence of ROR2, localizes to the plasma membrane (By similarity). {ECO:0000250}.",WTIP,
A6NJT0,nuclear chromatin [GO:0000790],SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.,UNCX UNCX4.1,
A6NLU0,cytoplasm [GO:0005737]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8VH31}. Nucleus {ECO:0000250|UniProtKB:Q8VH31}.,RFPL4A RFPL4 RNF210,
A6NNW6,phosphopyruvate hydratase complex [GO:0000015],,ENO4 C10orf134,
