Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0A1W2PR19,cytoplasm [GO:0005737],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,GSTT4 GSTTP1,
A1L3X4,cytoplasm [GO:0005737]; nucleus [GO:0005634],,MT1DP MTM,
A1L4H1,collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Cytoplasm {ECO:0000250}.,SSC5D,SIGNAL 1 16 {ECO:0000255}.
A6NCE7,autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; microtubule [GO:0005874],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Endomembrane system {ECO:0000250}; Lipid-anchor {ECO:0000250}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Note=LC3-II binds to the autophagic membranes. {ECO:0000250}.",MAP1LC3B2,
A7E2Y1,cardiac myofibril [GO:0097512]; membrane [GO:0016020]; myosin filament [GO:0032982],SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:15755502}; Peripheral membrane protein {ECO:0000269|PubMed:15755502}.,MYH7B KIAA1512,
O00115,extracellular exosome [GO:0070062]; lysosome [GO:0005764],SUBCELLULAR LOCATION: Lysosome.,DNASE2 DNASE2A DNL2,SIGNAL 1 18 {ECO:0000255}.
O00151,cell-cell adherens junction [GO:0005913]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; stress fiber [GO:0001725]; transcription factor complex [GO:0005667]; Z disc [GO:0030018],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10861853, ECO:0000269|PubMed:11110697}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10861853, ECO:0000269|PubMed:11110697}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:10861853}. Note=Associates with actin stress fibers. {ECO:0000269|PubMed:11110697}.",PDLIM1 CLIM1 CLP36,
O00244,cytosol [GO:0005829],,ATOX1 HAH1,
O00295,cilium [GO:0005929]; cytoplasm [GO:0005737]; extracellular region [GO:0005576],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Secreted {ECO:0000250}. Note=Does not have a cleavable signal peptide and is secreted by a non-conventional pathway. {ECO:0000250}.,TULP2 TUBL2,
O00391,endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724],"SUBCELLULAR LOCATION: Isoform 1: Golgi apparatus membrane {ECO:0000269|PubMed:17331072, ECO:0000269|PubMed:23704371}; Single-pass membrane protein {ECO:0000305|PubMed:17331072}. Secreted {ECO:0000269|PubMed:29757379}. Note=A small proportion is secreted, probably via a proteolytic cleavage that removes the membrane anchor. {ECO:0000305|PubMed:29757379}.; SUBCELLULAR LOCATION: Isoform 2: Secreted {ECO:0000269|PubMed:10708601}. Note=Found in the extracellular medium of quiescent cells but is not found in proliferating cells. {ECO:0000269|PubMed:10708601}.",QSOX1 QSCN6 UNQ2520/PRO6013,SIGNAL 1 29 {ECO:0000255}.
O00469,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; rough endoplasmic reticulum membrane [GO:0030867],SUBCELLULAR LOCATION: Rough endoplasmic reticulum membrane; Peripheral membrane protein; Lumenal side.,PLOD2,SIGNAL 1 25 {ECO:0000255}.
O00622,collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012],SUBCELLULAR LOCATION: Secreted.,CCN1 CYR61 GIG1 IGFBP10,SIGNAL 1 24 {ECO:0000255}.
O00625,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20089166, ECO:0000269|PubMed:9079676}. Cytoplasm {ECO:0000269|PubMed:20089166}. Note=Predominantly localized in dot-like subnuclear structures. Cytoplasmic localization of PIR seems to positively correlate with melanoma progression. {ECO:0000269|PubMed:20089166, ECO:0000269|PubMed:9079676}.",PIR,
O14523,cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:28209843}; Single-pass membrane protein {ECO:0000269|PubMed:28209843}. Cell membrane {ECO:0000269|PubMed:28209843}; Peripheral membrane protein {ECO:0000269|PubMed:28209843}. Note=Localizes to sites of contact between the endoplasmic reticulum and the cell membrane (PubMed:28209843). Embedded into the endoplamic reticulum membrane via its N-terminal transmembrane domain and associates with cell membrane via its C-terminus (PubMed:28209843). In response to elevation of cytosolic Ca(2+), it is phosphorylated at its C-terminus and dissociates from the cell membrane and localizes to the reticular endoplamic reticulum (PubMed:28209843). Reassociates with cell membrane upon dephosphorylation (PubMed:28209843). {ECO:0000269|PubMed:28209843}.",C2CD2L KIAA0285 TMEM24 DLNB23,
O14558,cytoplasm [GO:0005737]; extracellular region [GO:0005576]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19464326}. Nucleus {ECO:0000269|PubMed:19464326}. Secreted {ECO:0000269|PubMed:22427880}. Note=Translocates to nuclear foci during heat shock. {ECO:0000269|PubMed:19464326}.,HSPB6,
O14617,AP-3 adaptor complex [GO:0030123]; axon cytoplasm [GO:1904115]; endosome membrane [GO:0010008]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; postsynapse [GO:0098794]; presynaptic endosome [GO:0098830]; terminal bouton [GO:0043195],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.,AP3D1 PRO0039,
O14818,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynapse [GO:0098794]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12181345}. Nucleus {ECO:0000269|PubMed:12181345}.,PSMA7 HSPC,
O14950,cell cortex region [GO:0099738]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; myosin complex [GO:0016459],,MYL12B MRLC2 MYLC2B,
O15047,histone methyltransferase complex [GO:0035097]; nuclear chromatin [GO:0000790]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188],"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:17355966}. Chromosome {ECO:0000269|PubMed:17355966}. Note=Localizes to a largely non-overlapping set of euchromatic nuclear speckles with SETD1B, suggesting that SETD1A and SETD1B each bind to a unique set of target genes.",SETD1A KIAA0339 KMT2F SET1 SET1A,
O15143,actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; tubulobulbar complex [GO:0036284],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11741539, ECO:0000269|PubMed:9230079}. Nucleus {ECO:0000269|PubMed:29925947}.",ARPC1B ARC41,
