Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0A1W2PR19,cytoplasm [GO:0005737],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,GSTT4 GSTTP1,
A1L3X4,cytoplasm [GO:0005737]; nucleus [GO:0005634],,MT1DP MTM,
O00151,cell-cell adherens junction [GO:0005913]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; stress fiber [GO:0001725]; transcription factor complex [GO:0005667]; Z disc [GO:0030018],"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10861853, ECO:0000269|PubMed:11110697}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10861853, ECO:0000269|PubMed:11110697}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:10861853}. Note=Associates with actin stress fibers. {ECO:0000269|PubMed:11110697}.",PDLIM1 CLIM1 CLP36,
O00244,cytosol [GO:0005829],,ATOX1 HAH1,
O00625,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20089166, ECO:0000269|PubMed:9079676}. Cytoplasm {ECO:0000269|PubMed:20089166}. Note=Predominantly localized in dot-like subnuclear structures. Cytoplasmic localization of PIR seems to positively correlate with melanoma progression. {ECO:0000269|PubMed:20089166, ECO:0000269|PubMed:9079676}.",PIR,
O15047,histone methyltransferase complex [GO:0035097]; nuclear chromatin [GO:0000790]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188],"SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:17355966}. Chromosome {ECO:0000269|PubMed:17355966}. Note=Localizes to a largely non-overlapping set of euchromatic nuclear speckles with SETD1B, suggesting that SETD1A and SETD1B each bind to a unique set of target genes.",SETD1A KIAA0339 KMT2F SET1 SET1A,
O43396,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; proteasome complex [GO:0000502],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19349277}. Nucleus {ECO:0000269|PubMed:19349277}. Note=At least 85% of the cellular TXNL1 is proteasome-associated.,TXNL1 TRP32 TXL TXNL,
O43399,cytoplasm [GO:0005737]; perinuclear region of cytoplasm [GO:0048471],,TPD52L2,
O60841,cytoplasm [GO:0005737]; cytosol [GO:0005829],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q05D44}.,EIF5B IF2 KIAA0741,
O75347,cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; nucleolus [GO:0005730],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",TBCA,
O76074,cytosol [GO:0005829],,PDE5A PDE5,
O95394,cytosol [GO:0005829],,PGM3 AGM1,
O95810,actin cytoskeleton [GO:0015629]; caveola [GO:0005901]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:10191091, ECO:0000269|PubMed:2390065}. Membrane, caveola {ECO:0000269|PubMed:19262564, ECO:0000269|PubMed:19525939}. Note=Localizes in the caveolae in a caveolin-dependent manner. {ECO:0000269|PubMed:19262564}.",CAVIN2 SDPR,
P02042,blood microparticle [GO:0072562]; cytosol [GO:0005829]; haptoglobin-hemoglobin complex [GO:0031838]; hemoglobin complex [GO:0005833],,HBD,
P02545,cytosol [GO:0005829]; intermediate filament [GO:0005882]; lamin filament [GO:0005638]; nuclear envelope [GO:0005635]; nuclear lamina [GO:0005652]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15372542}. Nucleus envelope {ECO:0000269|PubMed:29599122}. Nucleus lamina. Nucleus, nucleoplasm. Note=Farnesylation of prelamin-A/C facilitates nuclear envelope targeting and subsequent cleaveage by ZMPSTE24/FACE1 to remove the farnesyl group produces mature lamin-A/C, which can then be inserted into the nuclear lamina. EMD is required for proper localization of non-farnesylated prelamin-A/C.; SUBCELLULAR LOCATION: Isoform C: Nucleus speckle {ECO:0000269|PubMed:16061563}.",LMNA LMN1,
P02795,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471],,MT2A CES1 MT2,
P05114,chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Cytoplasmic enrichment upon phosphorylation. The RNA edited version localizes to the nucleus.,HMGN1 HMG14,
P05455,"cytoplasm [GO:0005737]; nuclear chromosome, telomeric region [GO:0000784]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]",SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,SSB,
P06454,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus.,PTMA TMSA,
P06748,centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]; spindle pole centrosome [GO:0031616],"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:19208757, ECO:0000269|PubMed:22528486, ECO:0000269|PubMed:25818168, ECO:0000269|PubMed:25956029}. Nucleus, nucleoplasm {ECO:0000269|PubMed:25818168}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Note=Generally nucleolar, but is translocated to the nucleoplasm in case of serum starvation or treatment with anticancer drugs. Has been found in the cytoplasm in patients with primary acute myelogenous leukemia (AML), but not with secondary AML. Can shuttle between cytoplasm and nucleus. Co- localizes with the methylated form of RPS10 in the granular component (GC) region of the nucleolus. Colocalized with nucleolin and APEX1 in nucleoli. Isoform 1 of NEK2 is required for its localization to the centrosome during mitosis.",NPM1 NPM,
P07951,actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; cytosol [GO:0005829]; muscle thin filament tropomyosin [GO:0005862],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P58775}. Note=Associates with F-actin stress fibers. {ECO:0000250|UniProtKB:P58775}.",TPM2 TMSB,
P09936,axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; neuronal cell body [GO:0043025]; neuron projection terminus [GO:0044306]; nucleoplasm [GO:0005654],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19261853}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:19261853}; Lipid-anchor {ECO:0000269|PubMed:19261853}. Note=About 30% of total UCHL1 is associated with membranes in brain.,UCHL1,
P0DP91,nucleus [GO:0005634],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26218421}.,CSB-PGBD3,
P10155,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17289661}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs.,RO60 SSA2 TROVE2,
P10275,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear chromatin [GO:0000790]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12958311, ECO:0000269|PubMed:15634333, ECO:0000269|PubMed:17587566, ECO:0000269|PubMed:19244107, ECO:0000269|PubMed:19345326, ECO:0000269|PubMed:25091737}. Cytoplasm {ECO:0000269|PubMed:12958311, ECO:0000269|PubMed:17587566, ECO:0000269|PubMed:19244107}. Note=Detected at the promoter of target genes (PubMed:25091737). Predominantly cytoplasmic in unligated form but translocates to the nucleus upon ligand-binding. Can also translocate to the nucleus in unligated form in the presence of RACK1. {ECO:0000269|PubMed:12958311, ECO:0000269|PubMed:17587566, ECO:0000269|PubMed:25091737}.",AR DHTR NR3C4,
