Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0A1B0GTQ4,endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q2Q5T5}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q2Q5T5}.,MYMX,
A0A1B0GUA9,,,C13orf46,
A6H8Y1,nucleoplasm [GO:0005654]; transcription factor TFIIIB complex [GO:0000126],SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11161782}.,BDP1 KIAA1241 KIAA1689 TFNR,
A6NDG6,cytoplasm [GO:0005737],,PGP,
A6NE21,,,FAM90A18P FAM90A18; FAM90A19P FAM90A19,
A8K979,,,ERI2 EXOD1 KIAA1504,
B5ME19,eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q99613}.,EIF3CL,
E9PAV3,nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P70670}. Nucleus {ECO:0000250|UniProtKB:P70670}.,NACA,
O00115,extracellular exosome [GO:0070062]; lysosome [GO:0005764],SUBCELLULAR LOCATION: Lysosome.,DNASE2 DNASE2A DNL2,SIGNAL 1 18 {ECO:0000255}.
O00154,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654],"SUBCELLULAR LOCATION: Isoform 4: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: Isoform 6: Cytoplasm, cytosol {ECO:0000305|PubMed:12435388}.; SUBCELLULAR LOCATION: Isoform 1: Mitochondrion {ECO:0000269|PubMed:12435388}.; SUBCELLULAR LOCATION: Isoform 5: Mitochondrion {ECO:0000269|PubMed:12435388}.",ACOT7 BACH,
O00231,"cytosol [GO:0005829]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; secretory granule lumen [GO:0034774]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}.",PSMD11,
O00244,cytosol [GO:0005829],,ATOX1 HAH1,
O00273,cytosol [GO:0005829]; lipid droplet [GO:0005811]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Cytoplasm.,DFFA DFF1 DFF45 H13,
O00299,blood microparticle [GO:0072562]; brush border [GO:0005903]; chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle [GO:0031982],"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:9139710}. Nucleus membrane {ECO:0000269|PubMed:9139710}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:10793131, ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:9139710, ECO:0000305|PubMed:11978800, ECO:0000305|PubMed:14613939}. Cell membrane {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:11940526, ECO:0000269|PubMed:14613939, ECO:0000305|PubMed:11978800}; Single-pass membrane protein {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:14613939}. Note=Mostly in the nucleus including in the nuclear membrane (PubMed:9139710, PubMed:12681486). Small amount in the cytoplasm and the plasma membrane (PubMed:9139710). Exists both as soluble cytoplasmic protein and as membrane protein with probably a single transmembrane domain (PubMed:11940526, PubMed:11551966, PubMed:14613939). {ECO:0000269|PubMed:11551966, ECO:0000269|PubMed:11940526, ECO:0000269|PubMed:12681486, ECO:0000269|PubMed:14613939, ECO:0000269|PubMed:9139710}.",CLIC1 G6 NCC27,
O00391,endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; platelet alpha granule lumen [GO:0031093]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724],"SUBCELLULAR LOCATION: Isoform 1: Golgi apparatus membrane {ECO:0000269|PubMed:17331072, ECO:0000269|PubMed:23704371}; Single-pass membrane protein {ECO:0000305|PubMed:17331072}. Secreted {ECO:0000269|PubMed:29757379}. Note=A small proportion is secreted, probably via a proteolytic cleavage that removes the membrane anchor. {ECO:0000305|PubMed:29757379}.; SUBCELLULAR LOCATION: Isoform 2: Secreted {ECO:0000269|PubMed:10708601}. Note=Found in the extracellular medium of quiescent cells but is not found in proliferating cells. {ECO:0000269|PubMed:10708601}.",QSOX1 QSCN6 UNQ2520/PRO6013,SIGNAL 1 29 {ECO:0000255}.
O00410,cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear pore [GO:0005643]; nucleolus [GO:0005730]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Nucleus, nucleolus. Note=Nucleus; nuclear rim. Found particularly in the nuclear rim and nucleolus.",IPO5 KPNB3 RANBP5,
O00461,cis-Golgi network [GO:0005801]; endocytic vesicle [GO:0030139]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi lumen [GO:0005796]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; transport vesicle [GO:0030133],"SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Endosome membrane; Single-pass type II membrane protein. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Note=Localizes to cis and medial Golgi cisternae. Probably cycles between early Golgi and distal compartments like endosome.",GOLIM4 GIMPC GOLPH4 GPP130,
O00462,azurophil granule membrane [GO:0035577]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Lysosome {ECO:0000305}.,MANBA MANB1,SIGNAL 1 17 {ECO:0000255}.
O00468,basement membrane [GO:0005604]; cell junction [GO:0030054]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; Golgi lumen [GO:0005796]; integral component of membrane [GO:0016021]; lysosomal lumen [GO:0043202]; plasma membrane [GO:0005886]; synapse [GO:0045202],"SUBCELLULAR LOCATION: Isoform 1: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:20551380}. Note=Synaptic basal lamina at the neuromuscular junction. {ECO:0000250|UniProtKB:P31696}.; SUBCELLULAR LOCATION: Isoform 2: Cell junction, synapse {ECO:0000250|UniProtKB:A2ASQ1}. Cell membrane {ECO:0000250|UniProtKB:A2ASQ1}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:A2ASQ1}.",AGRN AGRIN,SIGNAL 1 29 {ECO:0000255}.
O00469,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; rough endoplasmic reticulum membrane [GO:0030867],SUBCELLULAR LOCATION: Rough endoplasmic reticulum membrane; Peripheral membrane protein; Lumenal side.,PLOD2,SIGNAL 1 25 {ECO:0000255}.
O00481,external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21113407, ECO:0000269|PubMed:21918970, ECO:0000269|PubMed:22767497}; Single-pass type I membrane protein {ECO:0000269|PubMed:21113407, ECO:0000269|PubMed:21918970, ECO:0000269|PubMed:22767497}.",BTN3A1 BTF5,SIGNAL 1 29 {ECO:0000255}.
O00487,"cytosol [GO:0005829]; cytosolic proteasome complex [GO:0031597]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; secretory granule lumen [GO:0034774]",,PSMD14 POH1,
O00555,cell projection [GO:0042995]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10049321, ECO:0000269|PubMed:26716990}; Multi-pass membrane protein {ECO:0000255}.",CACNA1A CACH4 CACN3 CACNL1A4,
O00560,adherens junction [GO:0005912]; azurophil granule lumen [GO:0035578]; blood microparticle [GO:0072562]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; focal adhesion [GO:0005925]; interleukin-5 receptor complex [GO:0005895]; intracellular membrane-bounded organelle [GO:0043231]; melanosome [GO:0042470]; membrane [GO:0016020]; membrane raft [GO:0045121]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cell junction, focal adhesion {ECO:0000269|PubMed:11179419}. Cell junction, adherens junction {ECO:0000269|PubMed:11179419}. Cell membrane {ECO:0000269|PubMed:11179419, ECO:0000269|PubMed:25893292, ECO:0000269|PubMed:27386966}; Peripheral membrane protein {ECO:0000269|PubMed:11179419, ECO:0000269|PubMed:27386966}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:17081065}; Peripheral membrane protein {ECO:0000269|PubMed:17081065}. Nucleus {ECO:0000269|PubMed:11179419}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Cytoplasm, cytosol {ECO:0000269|PubMed:11179419}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11179419}. Secreted, extracellular exosome {ECO:0000269|PubMed:22660413}. Membrane raft {ECO:0000269|PubMed:25893292}. Note=Mainly membrane-associated. Localized to adherens junctions, focal adhesions and endoplasmic reticulum. Colocalized with actin stress fibers. Also found in the nucleus. Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Associated to the plasma membrane in the presence of FZD7 and phosphatidylinositol 4,5-bisphosphate (PIP2) (PubMed:27386966). {ECO:0000269|PubMed:11179419, ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:27386966}.",SDCBP MDA9 SYCL,
O00584,azurophil granule lumen [GO:0035578]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764],SUBCELLULAR LOCATION: Secreted. Lysosome lumen. Endoplasmic reticulum lumen. Note=Subcellular fractionation of transfected ovarian cancer cells reveals full-length RNASET2 in the endoplasmic reticulum fraction and the 2 smaller RNASET2 proteolytic products in the lysosome fraction.,RNASET2 RNASE6PL,SIGNAL 1 24 {ECO:0000255}.
O00754,azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosomal lumen [GO:0043202]; vacuolar membrane [GO:0005774],SUBCELLULAR LOCATION: Lysosome.,MAN2B1 LAMAN MANB,SIGNAL 1 49
