Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0A0B4J275,T cell receptor complex [GO:0042101],SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.,TRAV17,SIGNAL 1 21 {ECO:0000255}.
A0AVT1,cytoplasm [GO:0005737]; cytosol [GO:0005829],,UBA6 MOP4 UBE1L2,
A5D8V6,endosome membrane [GO:0010008]; ESCRT I complex [GO:0000813]; extracellular exosome [GO:0070062]; host cell [GO:0043657]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902],SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000305|PubMed:15509564}; Peripheral membrane protein {ECO:0000305|PubMed:15509564}. Note=Probably associates with membranes. Recruited to the plasma membrane by HIV-1.,VPS37C PML39,
A5YKK6,CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]; peroxisomal membrane [GO:0005778],"SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000269|PubMed:21976065}. Nucleus {ECO:0000305|PubMed:21976065}. Note=NANOS2 promotes its localization to P-body. {ECO:0000250|UniProtKB:Q6ZQ08}.",CNOT1 CDC39 KIAA1007 NOT1 AD-005,
A6NCC3,cis-Golgi network [GO:0005801]; Golgi apparatus [GO:0005794]; Golgi cis cisterna [GO:0000137]; Golgi cisterna membrane [GO:0032580],,GOLGA8O,
A6NDG6,cytoplasm [GO:0005737],,PGP,
A6NHQ2,box C/D snoRNP complex [GO:0031428]; Cajal body [GO:0015030]; fibrillar center [GO:0001650]; nucleus [GO:0005634]; small-subunit processome [GO:0032040],"SUBCELLULAR LOCATION: Nucleus, nucleolus. Note=Fibrillar region of the nucleolus. {ECO:0000250}.",FBLL1,
A6NIZ1,cytosol [GO:0005829]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Note=May shuttle between plasma membrane and cytosol. {ECO:0000250}.",,
A6NJU9,integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654],SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}.,NPIPB13,
A7MCY6,,,TBKBP1 KIAA0775 SINTBAD,
