Entry,Gene ontology (cellular component),Subcellular location [CC],Gene names,Signal peptide
A0A0B4J2D5,mitochondrion [GO:0005739],SUBCELLULAR LOCATION: Mitochondrion {ECO:0000305}.,GATD3B HES1 KNPI,
A0A0J9YWL9,,,TEX13C,
A0AVT1,cytoplasm [GO:0005737]; cytosol [GO:0005829],,UBA6 MOP4 UBE1L2,
A2PYH4,,,HFM1 SEC3D1,
A2RRH5,nucleoplasm [GO:0005654],,WDR27,
A2RUB6,centriolar satellite [GO:0034451]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; microtubule [GO:0005874]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:28235840}. Cell projection, cilium {ECO:0000269|PubMed:28235840}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:28235840}. Photoreceptor inner segment {ECO:0000269|PubMed:19777273}. Cell projection, cilium, photoreceptor outer segment {ECO:0000269|PubMed:19777273}. Note=Restricted to the centrosomes and the spindle microtubules during mitosis (PubMed:28235840). Enriched in the inner segment of the photoreceptor (PubMed:19777273). {ECO:0000269|PubMed:19777273, ECO:0000269|PubMed:28235840}.",CCDC66,
A6NCE7,autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; microtubule [GO:0005874],"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Endomembrane system {ECO:0000250}; Lipid-anchor {ECO:0000250}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Note=LC3-II binds to the autophagic membranes. {ECO:0000250}.",MAP1LC3B2,
A6ND36,cytosol [GO:0005829]; nucleus [GO:0005634],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:24554596}. Nucleus {ECO:0000269|PubMed:24554596}. Note=Detected predominantly in cytosolic. Upon BMP stimulation, a small portion of PAWS1 is detected in the nucleus. {ECO:0000269|PubMed:24554596}.",FAM83G PAWS1,
A6NE01,,,FAM186A,
A6NFQ2,cell junction [GO:0030054]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Isoform 2: Cell membrane {ECO:0000269|PubMed:25559186}. Note=Colocalizes with TRPM8 on the plasma membrane. {ECO:0000269|PubMed:25559186}.,TCAF2 FAM115C FAM139A,
A6NJ88,integrator complex [GO:0032039],,SAGE2P,
A6NKB5,integral component of membrane [GO:0016021],SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,PCNX2 KIAA0435 PCNXL2,
A6NKL6,integral component of membrane [GO:0016021],SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,TMEM200C TTMA,
A6NKT7,cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634],,RGPD3 RGP3,
A7E2Y1,cardiac myofibril [GO:0097512]; membrane [GO:0016020]; myosin filament [GO:0032982],SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:15755502}; Peripheral membrane protein {ECO:0000269|PubMed:15755502}.,MYH7B KIAA1512,
A7MBM2,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,DISP2 C15orf36 DISPB KIAA1742 LINC00594,
A8K0Z3,autophagosome [GO:0005776]; centriole [GO:0005814]; cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; intracellular membrane-bounded organelle [GO:0043231]; invadopodium [GO:0071437]; late endosome [GO:0005770]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; WASH complex [GO:0071203],"SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000269|PubMed:19922874}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q8VDD8}. Late endosome {ECO:0000269|PubMed:22114305, ECO:0000269|PubMed:24344185}. Cytoplasmic vesicle, autophagosome {ECO:0000250|UniProtKB:Q8VDD8}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:Q8VDD8}. Note=Localization to the endosome membrane is mediated via its interaction with WASHC2 (PubMed:19922874). Localizes to MMP14-positive late endosomes and transiently to invadipodia (PubMed:24344185). Localized to Salmonella typhimurium entry sites (By similarity). {ECO:0000250|UniProtKB:Q8VDD8, ECO:0000269|PubMed:19922874, ECO:0000269|PubMed:24344185}.",WASHC1 FAM39E WASH1,
A8MPX8,cytosol [GO:0005829]; nucleus [GO:0005634],,PP2D1 C3orf48,
A8MQ03,extracellular exosome [GO:0070062],,CYSRT1 C9orf169,
A8MT19,,,RHPN2P1,
A8MUA0,,,,
A8MW92,nucleus [GO:0005634],,PHF20L1 CGI-72,
A8MWD9,catalytic step 2 spliceosome [GO:0071013]; P granule [GO:0043186]; SMN-Sm protein complex [GO:0034719]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682],SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.,SNRPGP15,
A8MYU2,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,KCNU1 KCNMA3 KCNMC1 SLO3,
